MONTH,AIRLINE,ORIGIN_AIRPORT,total_voos,total_atrasados,soma_delay
1,MQ,SPI,34,5,338.0
1,MQ,SPS,87,19,558.0
1,MQ,STL,144,44,2607.0
1,MQ,SUX,52,12,475.0
1,MQ,SYR,105,36,2660.0
1,MQ,TLH,156,19,447.0
1,MQ,TOL,73,14,643.0
1,MQ,TUL,106,30,2141.0
1,MQ,TVC,83,26,1911.0
1,MQ,TXK,83,16,684.0
1,MQ,TYR,85,25,1570.0
1,MQ,TYS,156,42,2418.0
1,MQ,VPS,142,36,1808.0
1,MQ,XNA,397,91,5730.0
1,NK,ACY,335,39,957.0
1,NK,ATL,246,61,2938.0
1,NK,BOS,118,26,947.0
1,NK,BQN,13,2,91.0
1,NK,BWI,155,15,506.0
1,NK,CLE,17,2,8.0
1,NK,DEN,273,76,4213.0
1,NK,DFW,714,123,6040.0
1,NK,DTW,692,213,12459.0
1,NK,FLL,1076,263,14033.0
1,NK,IAG,29,3,103.0
1,NK,IAH,359,90,4510.0
1,NK,LAS,734,135,5780.0
1,NK,LAX,273,75,4213.0
1,NK,LBE,93,19,821.0
1,NK,LGA,320,111,6666.0
1,NK,MCI,131,37,2515.0
1,NK,MCO,416,88,3635.0
1,NK,MSP,340,120,7995.0
1,NK,MSY,153,30,1285.0
1,NK,MYR,144,32,1052.0
1,NK,OAK,123,9,-110.0
1,NK,ORD,761,245,16512.0
1,NK,PBG,30,9,217.0
1,NK,PBI,60,7,-134.0
1,NK,PDX,36,3,-6.0
1,NK,PHL,59,23,1872.0
1,NK,PHX,124,28,2179.0
1,NK,RSW,331,90,6205.0
1,NK,SAN,127,20,652.0
1,NK,SJU,61,16,443.0
1,NK,STT,31,12,914.0
1,NK,TPA,271,54,3954.0
1,OO,ABQ,252,34,658.0
1,OO,ABR,60,7,1470.0
1,OO,ACV,147,42,3688.0
1,OO,ALB,7,5,538.0
1,OO,AMA,21,7,584.0
1,OO,APN,49,14,1257.0
1,OO,ASE,504,158,9201.0
1,OO,ATL,300,90,5851.0
1,OO,ATW,42,7,304.0
1,OO,AUS,255,54,3050.0
1,OO,AVL,33,4,382.0
1,OO,AZO,24,5,173.0
1,OO,BDL,7,2,72.0
1,OO,BFL,226,42,3179.0
1,OO,BHM,35,6,93.0
1,OO,BIL,93,6,-19.0
1,OO,BIS,164,43,4795.0
1,OO,BJI,61,5,257.0
1,OO,BMI,23,4,431.0
1,OO,BNA,226,28,1274.0
1,OO,BOI,441,131,9963.0
1,OO,BOS,28,6,460.0
1,OO,BRD,52,1,-82.0
1,OO,BTM,59,1,-422.0
1,OO,BUF,4,1,51.0
1,OO,BUR,343,50,2553.0
1,OO,BWI,1,1,156.0
1,OO,BZN,116,28,1399.0
1,OO,CAK,2,1,127.0
1,OO,CDC,53,4,-109.0
1,OO,CEC,59,20,1704.0
1,OO,CHO,53,21,1513.0
1,OO,CHS,2,2,64.0
