MONTH,AIRLINE,STATE,total_voos,total_atrasados
2,NK,AZ,107,40
2,NK,CA,467,114
2,NK,CO,237,69
2,NK,FL,1933,511
2,NK,GA,218,41
2,NK,IL,684,280
2,NK,LA,136,28
2,NK,MA,104,43
2,NK,MD,142,22
2,NK,MI,632,225
2,NK,MN,304,105
2,NK,MO,113,30
2,NK,NJ,304,53
2,NK,NV,658,170
2,NK,NY,345,138
2,NK,OH,74,23
2,NK,OR,28,9
2,NK,PA,136,36
2,NK,PR,40,8
2,NK,SC,173,52
2,NK,TX,961,188
2,NK,VI,27,6
2,OO,AL,26,5
2,OO,AR,97,19
2,OO,AZ,2301,262
2,OO,CA,12715,2453
2,OO,CO,4730,1314
2,OO,CT,10,3
2,OO,FL,7,1
2,OO,GA,361,107
2,OO,IA,297,76
2,OO,ID,799,114
2,OO,IL,2842,1101
2,OO,IN,475,139
2,OO,KS,268,79
2,OO,KY,338,92
2,OO,LA,33,5
2,OO,MA,25,7
2,OO,MI,1352,315
2,OO,MN,2108,344
2,OO,MO,273,66
2,OO,MT,697,79
2,OO,NC,69,12
2,OO,ND,754,154
2,OO,NE,276,60
2,OO,NJ,1,1
2,OO,NM,256,35
2,OO,NV,552,94
2,OO,NY,18,6
2,OO,OH,153,40
2,OO,OK,256,47
2,OO,OR,1065,155
2,OO,PA,30,10
2,OO,SC,2,0
2,OO,SD,358,69
2,OO,TN,313,72
2,OO,TX,1920,386
2,OO,UT,3883,395
2,OO,VA,258,59
2,OO,WA,1242,144
2,OO,WI,911,239
2,OO,WY,515,82
2,UA,AK,30,4
2,UA,AZ,550,103
2,UA,CA,6644,1377
2,UA,CO,3620,1153
2,UA,CT,60,20
2,UA,FL,2860,597
2,UA,GA,209,50
2,UA,GU,28,7
2,UA,HI,684,149
2,UA,IA,46,15
2,UA,ID,46,4
2,UA,IL,3973,1592
2,UA,IN,45,10
2,UA,KS,25,3
2,UA,LA,482,71
2,UA,MA,631,234
2,UA,MD,178,51
2,UA,MI,63,23
2,UA,MN,156,29
2,UA,MO,20,4
2,UA,MT,104,28
2,UA,NC,54,18
2,UA,NE,77,15
2,UA,NJ,3324,1135
2,UA,NV,1030,216
2,UA,NY,1056,279
2,UA,OH,653,109
2,UA,OK,27,4
2,UA,OR,312,50
2,UA,PA,436,88
2,UA,PR,144,54
2,UA,TX,5237,1228
2,UA,UT,135,24
2,UA,VA,1493,360
2,UA,VI,58,19
2,UA,WA,658,121
2,UA,WY,81,28
2,US,AK,24,2
2,US,AZ,3916,659
2,US,CA,1546,215
2,US,CO,325,59
2,US,CT,105,17
2,US,FL,2823,491
2,US,GA,440,47
2,US,HI,149,7
2,US,ID,55,9
2,US,IL,537,107
2,US,IN,125,16
2,US,LA,139,16
2,US,MA,1170,311
2,US,MD,282,41
2,US,ME,23,5
2,US,MI,214,38
2,US,MN,324,42
2,US,MO,310,53
2,US,NC,6723,1230
2,US,NE,50,6
2,US,NJ,271,39
2,US,NV,522,69
2,US,NY,1276,313
2,US,OH,210,25
2,US,OR,126,12
2,US,PA,3429,761
2,US,PR,145,43
2,US,RI,78,16
2,US,SC,20,2
2,US,TN,165,26
2,US,TX,918,117
2,US,UT,202,30
2,US,VA,1578,323
2,US,VI,58,14
2,US,WA,250,31
2,US,WI,51,6
2,VX,CA,2207,368
2,VX,FL,172,43
2,VX,IL,63,14
2,VX,MA,99,22
2,VX,NJ,123,19
2,VX,NV,297,74
2,VX,NY,370,71
2,VX,OR,28,0
2,VX,TX,354,78
2,VX,VA,189,37
2,VX,WA,166,34
2,WN,AL,348,52
